"		lfd. Nummer";Veroeffentlichungs-Nummer;Anmeldedatum;Erfinder;Anmelder/Inhaber;Titel;Zusammenfassung;Länderkürzel;Land;Prozessstand;Anmelderländerkürzel;Anmelderland
2564;WO002019141290A2;15.05.2019;"CHENG LONG, CN; FENG ZHIYUAN, CN; LI YANPENG, CN";ALIBABA GROUP HOLDING LTD, CN; [EN] PROCESSING DATA ELEMENTS STORED IN BLOCKCHAIN NETWORKS  [FR] TRAITEMENT D'ÉLÉMENTS DE DONNÉES STOCKÉS DANS DES RÉSEAUX DE CHAÎNES DE BLOCS; [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for managing data element stored in a blockchain network. One of the methods includes receiving a request from a client computing device to store a data element into the blockchain network by a blockchain data element processing server. The blockchain data element processing server determines whether the client computing device is authorized to store the data element into the blockchain network and whether the data element is a sensitive data element. If the client computing device is authorized to store the data element into the blockchain network and the data element is not a sensitive data element, the blockchain data element processing server stores the data element that is encrypted using an encryption algorithm into the blockchain network. <br /> [FR]  L'invention concerne des procédés, des systèmes et des appareils, y compris des programmes informatiques encodés ...;WO;;A;CN;China
2565;WO002019141289A2;14.05.2019;ZHUO HAIZHEN, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] METHODS AND DEVICES FOR DATA TRAVERSAL  [FR] PROCÉDÉ ET DISPOSITIF POUR TRAVERSÉE DE DONNÉES;" [EN]  Disclosed herein are methods, devices, and apparatuses, including computer programs stored on computer-readable media, for data traversal. One of the methods includes: obtaining one or more key-value pairs from a program for use on a blockchain; indexing one or more keys of the one or more key-value pairs to generate an index, the index associating the one or more keys with an identifier of the program; and retrieving at least one value in the one or more key-value pairs based on the index. <br /> [FR]  L'invention concerne des procédés, des dispositifs et des appareils, y compris des programmes informatiques stockés sur des supports lisibles par ordinateur, destinés à une traversée de données. L'un des procédés consiste à : obtenir une ou plusieurs paires de valeurs de clés à partir d'un programme destiné à être utilisé sur une chaîne de blocs; à indexer une ou plusieurs clés de la ou des paires de valeurs de clés pour générer un indice, l'indice associant la ou les clés à un ...";WO;;A;CN;China
2566;WO002019140464A1;15.01.2019;COONER JASON RYAN, US;COONER JASON RYAN, US; [EN] INTERNET OF THINGS DEVICES FOR USE WITH AN ENCRYPTION SERVICE  [FR] SYSTÈME, PROCÉDÉS COMMERCIAUX ET TECHNIQUES, ET ARTICLE DE FABRICATION DESTINÉ À LA CONCEPTION, À LA MISE EN &OElig;UVRE ET À ...;WO;;A;US;USA
2567;WO002019140199A1;11.01.2019;"CABAL ADRIAN, US; CANTRELL ROBERT, US; HEENEY CHRISTOPHER, US; HEMDEV ADITYA, US; HIGH DONALD, US; JURICH JOSEPH, US; LEWIS STEVEN, US; MATTINGLY TODD, US; MCHALE BRIAN, GB; O'BRIEN JOHN, US; WILKINSON BRUCE, US";WALMART APOLLO LLC, US; [EN] SYSTEMS AND METHODS FOR KEY EXCHANGE IN BLOCKCHAIN  [FR] SYSTÈMES ET PROCÉDÉS D'ÉCHANGE DE CLÉS DANS UNE CHAÎNE DE BLOCS; [EN]  Exemplary embodiments of the present disclosure are related to a system for key exchange in a blockchain based system associated with warranty-ownership of physical objects. Embodiments of the key exchange system can include user terminal devices, one or more non-transitory computer-readable media, and a computing system. <br /> [FR]  Selon des exemples de modes de réalisation, la présente invention concerne un système d'échange de clés dans un système basé sur une chaîne de blocs qui est associé à une propriété de garantie sur des objets physiques. Des modes de réalisation du système d'échange de clés peuvent comprendre des dispositifs terminaux utilisateur, un ou plusieurs supports non transitoires lisibles par ordinateur et un système informatique. ;WO;;A;US;USA
2568;WO002019139688A1;30.11.2018;DAVIS STEVEN, US;MASTERCARD INTERNATIONAL INC, US; [EN] METHOD AND SYSTEM FOR PUBLIC ELECTIONS ON A MODERATED BLOCKCHAIN  [FR] PROCÉDÉ ET SYSTÈME D'ÉLECTIONS PUBLIQUES SUR UNE CHAÎNE DE BLOCS MODÉRÉE;" [EN]  A method for processing votes in a public blockchain includes: generating an election reference and candidate references; generating an asymmetric cryptographic key pair comprised of a master private key and master public key; generating a registration block for addition to a blockchain including the election reference, candidate references, and master public key; transmitting the registration block to nodes associated with the blockchain; receiving a plurality of voting messages, each including a vote and the election reference, where the vote includes a voter reference and at least one candidate reference; generating one or more voting blocks for addition to the blockchain including the received votes; and transmitting each generated voting block to nodes associated with the blockchain. <br /> [FR]  L'invention concerne un procédé de traitement de votes, dans une chaîne de blocs publique, qui consiste : à générer une référence d'élection et des références de candidats ; à générer ...";WO;;A;US;USA
2569;WO002019139681A1;28.11.2018;SHANMUGAM SARAVANA, US;MASTERCARD INTERNATIONAL INC, US; [EN] METHOD AND SYSTEM FOR TOKENIZED REPLACEMENT OF CRYPTO CURRENCY ADDRESSES  [FR] PROCÉDÉ ET SYSTÈME DE REMPLACEMENT PAR SEGMENTATION EN UNITÉS D'ADRESSES DE CRYPTOMONNAIE;" [EN]  A method for tokenized cross-currency transacting includes: receiving a transaction request, the request including a source address, destination address, source currency, destination currency, and currency amount; generating an intermediate address associated with a transaction account issued in the source or destination currency; processing a first payment transaction for payment of the currency amount from a transaction account associated with the source address to the transaction account associated with the intermediate address; processing a second payment transaction for payment of the currency amount from the transaction account associated with the intermediate address to a transaction account associated with the destination address; storing a transaction record including at least the intermediate address, source currency, destination currency, the currency amount; and transmitting a notification in response to the received transaction request indicating completion of the ...";WO;;A;US;USA
2570;WO002019139678A1;26.11.2018;CALDWELL MARK, US;ROBOT CACHE INC, US; [EN] METHODS AND SYSTEMS FOR MEDIA DISTRIBUTION EMPLOYING CONTRACTS IMPLEMENTED IN A DISTRIBUTED LEDGER  [FR] PROCÉDÉS ET SYSTÈMES DE DISTRIBUTION DE MÉDIA EMPLOYANT DES CONTRATS MIS EN &OElig;UVRE ...;WO;;A;US;USA
2571;WO002019139655A1;11.10.2018;"ANG GABRIEL JIN JUAN, SG; CHENG WEN ZHAO, SG; LI XI, SG; RAY SATRAJIT, SG; RENGARAJAN LAVANYA, SG; TAGAMA JUN RYAN MENORCA, PH";VISA INT SERVICE ASS, US; [EN] TECHNIQUES FOR CONDUCTING TRANSACTIONS UTILIZING CRYPTOCURRENCY  [FR] TECHNIQUES POUR EFFECTUER DES TRANSACTIONS EN CRYPTOMONNAIE; [EN]  Embodiments of the invention are directed to systems and methods for conducting a transaction utilizing a cryptocurrency. The user may fund a cryptocurrency account with his pre-existing cryptocurrency. An issuer may purchase cryptocurrency within a cryptocurrency exchange. The user may then utilize a payment device (e.g., a Crypto Debit Card) that is associated with a cryptocurrency balance to conduct a transaction with a merchant for goods and/or services. An authorization request message may be transmitted to the authorizing entity computer. The authorizing entity computer may determine a cryptocurrency amount corresponding to the fiat currency transaction amount of the authorization request message. A sell request message may be transmitted to an exchange that facilitates the sale of the cryptocurrency amount. If the sale is successful, the authorizing entity computer may transmit an authorization response message indicating that the transaction is approved and the merchant ...;WO;;A;US;USA
2572;WO002019139632A1;13.02.2018;"CLINE RAYMOND, US; HENSON DAVID, US; MCNAMARA MICHAEL, US";LANCIUM LLC, US; [EN] METHOD AND SYSTEM FOR DYNAMIC POWER DELIVERY TO A FLEXIBLE DATACENTER USING UNUTILIZED ENERGY SOURCES  [FR] PROCÉDÉ ET SYSTÈME D'ALIMENTATION DYNAMIQUE D'UN CENTRE DE DONNÉES FLEXIBLE AU MOYEN ...; [EN]  A flexible datacenter includes a mobile container, a behind-the-meter power input system, a power distribution system, a datacenter control system, a plurality of computing systems, and a climate control system. The datacenter control system modulates power delivery to the plurality of computing systems based on unutilized behind-the-meter power availability or an operational directive. A method of dynamic power delivery to a flexible datacenter using unutilized behind-the-meter power includes monitoring unutilized behind-the-meter power availability, determining when a datacenter ramp-up condition is met, enabling behind-the-meter power delivery to one or more computing systems when the datacenter ramp-up condition is met, and directing the one or more computing systems to perform predetermined computational operations. <br /> [FR]  L'invention concerne un centre de données flexible comprenant un conteneur mobile, un système d'entrée d'énergie derrière le compteur, un système ...;WO;;A;US;USA
2573;WO002019138391A1;15.01.2019;MAIM ENRICO, FR;MAIM ENRICO, FR; [EN] TOKEN-BASED TRANSACTIONAL SYSTEMS AND METHODS  [FR] SYSTE&#x300;MES ET PROCE&#x301;WO;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=WO002019138391A1&xxxfull=1;A;FR;Frankreich
2574;WO002019137569A2;14.05.2019;"CHENG LONG, CN; FENG ZHIYUAN, CN; LI YANPENG, CN";ALIBABA GROUP HOLDING LTD, CN; [EN] MULTI-CARD OVERLAY DISPLAY  [FR] DISPOSITIF D'AFFICHAGE EN OVERLAY MULTI-CARTE;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for presenting coupons on a user interface. One of the methods includes identifying data encoding coupons, each coupon associated with a sponsoring manufacturer and associated with an event organized by the sponsoring manufacturer; grouping the coupons into arrays of matching coupons for each sponsoring manufacturer and each associated event; and dynamically displaying, on the user interface, an array of matching coupons associated with a particular event organized by a particular sponsoring manufacturer, wherein dynamically displaying comprises: arranging the coupons of the array from a first end to a second end on the user interface such that each pair of neighboring coupons form an overlap and each coupon, other than a currently active coupon, is partially visible; and in response to a user input on the user interface, changing the currently active coupon such ...";WO;;A;CN;China
